Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 142, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 143, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 144, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 145, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 146, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 1, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 2, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 3, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 4, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 5, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 6, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 7, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 8, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 9, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 10, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 11, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 12, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 13, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 14, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 15, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 16, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 17, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 18, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 19, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 20, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 21, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 22, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 23, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 24, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 25, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 26, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 27, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 28, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 29, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 30, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 31, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 32, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 33, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 34, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 35, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 36, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 37, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 38, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 39, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 40, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 41, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 42, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 43, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 44, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 45, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 46, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 47, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 48, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 49, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 50, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 51, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 52, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 53, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 54, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 55, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 56, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 57, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 58, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 59, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 60, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 61, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 62, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 63, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 64, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 65, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 66, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 67, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 68, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 69, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 70, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 71, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 72, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 73, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 74, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 75, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 76, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 77, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 78, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 79, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 80, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 81, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 82, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 83, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 84, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 85, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 86, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 87, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 88, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 89, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 0, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 1, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 2, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 3, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 4, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 5, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 6, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 7, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 8, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 9, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 10, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 11, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 12, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 13, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 14, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 15, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 16, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 17, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 18, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 19, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 20, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 21, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 22, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 23, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 24, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 25, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 26, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 27, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 28, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 29, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 30, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 31, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 32, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 33, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 34, Entry Lane: CL2, Exit Lane: BL1, Direction: S
Vehicle ID: 35, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 36, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 37, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 38, Entry Lane: CL2, Exit Lane: AL1, Direction: W
Vehicle ID: 39, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 40, Entry Lane: CL2, Exit Lane: AL1, Direction: N
Vehicle ID: 41, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 42, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 43, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 44, Entry Lane: AL2, Exit Lane: CL1, Direction: E
Vehicle ID: 45, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 46, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 47, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 48, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 49, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 50, Entry Lane: BL2, Exit Lane: AL1, Direction: N
Vehicle ID: 51, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 0, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 52, Entry Lane: AL2, Exit Lane: CL1, Direction: W
Vehicle ID: 1, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 53, Entry Lane: AL2, Exit Lane: CL1, Direction: S
Vehicle ID: 2, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 54, Entry Lane: AL2, Exit Lane: DL1, Direction: E
Vehicle ID: 3, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 55, Entry Lane: BL2, Exit Lane: AL1, Direction: W
Vehicle ID: 4, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 56, Entry Lane: AL2, Exit Lane: CL1, Direction: N
Vehicle ID: 5, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 57, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 6, Entry Lane: BL2, Exit Lane: AL1, Direction: E
Vehicle ID: 58, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 7, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 59, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 8, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 60, Entry Lane: DL2, Exit Lane: BL1, Direction: S
Vehicle ID: 9, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 61, Entry Lane: CL2, Exit Lane: BL1, Direction: W
Vehicle ID: 10, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 62, Entry Lane: BL2, Exit Lane: DL1, Direction: S
Vehicle ID: 11, Entry Lane: CL2, Exit Lane: BL1, Direction: N
Vehicle ID: 63, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 12, Entry Lane: BL2, Exit Lane: DL1, Direction: N
Vehicle ID: 64, Entry Lane: CL2, Exit Lane: AL1, Direction: S
Vehicle ID: 13, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 65, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 14, Entry Lane: DL2, Exit Lane: CL1, Direction: N
Vehicle ID: 66, Entry Lane: CL2, Exit Lane: AL1, Direction: E
Vehicle ID: 15, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 67, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 16, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 68, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 17, Entry Lane: BL2, Exit Lane: DL1, Direction: E
Vehicle ID: 69, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 18, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 70, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 19, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 71, Entry Lane: DL2, Exit Lane: BL1, Direction: N
Vehicle ID: 20, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 72, Entry Lane: DL2, Exit Lane: CL1, Direction: W
Vehicle ID: 21, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 73, Entry Lane: DL2, Exit Lane: BL1, Direction: E
Vehicle ID: 22, Entry Lane: AL2, Exit Lane: DL1, Direction: S
Vehicle ID: 74, Entry Lane: BL2, Exit Lane: AL1, Direction: S
Vehicle ID: 23, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 75, Entry Lane: CL2, Exit Lane: BL1, Direction: E
Vehicle ID: 24, Entry Lane: BL2, Exit Lane: DL1, Direction: W
Vehicle ID: 76, Entry Lane: DL2, Exit Lane: BL1, Direction: W
Vehicle ID: 25, Entry Lane: AL2, Exit Lane: DL1, Direction: W
Vehicle ID: 77, Entry Lane: AL2, Exit Lane: DL1, Direction: N
Vehicle ID: 26, Entry Lane: DL2, Exit Lane: CL1, Direction: S
Vehicle ID: 78, Entry Lane: DL2, Exit Lane: CL1, Direction: E
Vehicle ID: 27, Entry Lane: AL2, Exit Lane: DL1, Direction: W
